id,name
8512,1. Schweizer Fachtag neuro.psycho.geriatrie
8513,19. Journées Franco-Suisse
12772,2. Zürcher Brustkrebs Symposium 1. 11.2018 Organisator (Zahlungsempfänger) Bv Congress Gmbh Gegenleistung: Ausstellerstand
8514,20. Ostschweizer Symposium für praktische Gynäkologie und Geburtshilfe
8515,360 GmbH
8516,360° Kinderwunsch Zentrum Zürich
8517,3JMED Sàrl
12397,4th Congress of the European Academy of Neurology (Lisbon/Portugal)
2,A. Brand
6,A. Karajiannis
14366,AAA 2019 Organisation
8518,Aarg. Apothekerverband
12773,Aargauischer Apothekerverband
8520,AarReha Schinznach
8,Abba Moussa
9,Abdelbaky Naiem
10,Abdelhafid Mekideche
11,Abdelhak Boubrahimi
12,Abdelkader Saaidia
13,Abdelkrim Diab
14,Abderrahim Benkortbi
14367,Abdomed
15,Abdou El Azizi Ali El Wafa
10593,Abdulrahman Ahmad
17,Abel Lanaspa
12871,Abolghassem Sepehrnia
10594,Abolghassem Sepehrnia
8521,Académie Dr. Ney
10595,Achim Burrer
10596,Achim Mallmann
18,Achim Mallmann
19,Achim Weber
13042,Açif Kafexholli
14368,act-Academy GmbH
14893,Adak Azdasht
20,Adalgisa Condoluci
21,Adam Czaplinski
12872,Adam Krol
12873,Adam Ogna
12874,Adam Tageldin
22,Adam Wiktor Ziemka
8648,ADEL Association D'Esculape En Lavaux
14369,"ADEL, Hôpital de Lavaux, Cully"
10597,Adelheid Thölen-Wörmann
12398,Adhärenz Bei Oraler Tumortherapie
15800,adhs 20+ Fachstelle Zürich
23,Adila Basic
8522,Adimed
14894,Adin Muratovic
24,Adin Muratovic
8523,Adipositaszentrum Privatklinik Lindenberg
25,Aditya Sant
8524,ADMED Laboratoires
8525,ADMED Pathologie
26,Adolf Berli-Nicca
8526,ADR-AC GmbH
12875,Adrian Attinger
12876,Adrian Berthoud
27,Adrian Borcea
29,Adrian Bühler
30,Adrian Bührer
28,Adrian Burki
31,Adrian Casty
32,Adrian Ciurea
33,Adrian Dubs
34,Adrian Duss
35,Adrian Egli
37,Adrian Forster
38,Adrian Forster
36,Adrian Forster
39,Adrian Fröhlich
40,Adrian Glarner
41,Adrian Häne
43,Adrian Naegeli
44,Adrian Pfeffer
42,Adrian R. Kormann
45,Adrian Schibli
46,Adrian Schmassmann
47,Adrian Schmidt
12877,Adrian Sieber
48,Adrian Siegel
14895,Adrian Siegrist
49,Adrian Suter
12878,Adrian Teuscher
50,Adriana Baserga
51,Adriana Baumann
10598,Adriana Keta
14896,Adriana Komarek
10599,Adriana Méndez
12879,Adriana Strakova
52,Adriano Aguzzi
53,Adriano Bont
14897,Adriano Martinelli
54,Adriano Martinelli Sagl
55,Adrien Coman
14898,Adrien Cosinschi
56,Adrien Croquelois
57,Adrien Faudot
58,Adrien Patrick Ruedin
10600,Adrienne Baussière
59,Adrienne Bettini
10601,Adrienne Surbek
12399,Advanced technologies treamtents for diabetes
8527,Advisis AG
8528,Aequilibris Seminare AG
8530,Aerzte Thalwil
8533,Aerztegesellschaft des Kantons Bern
8532,Aerztegesellschaft Thurgau Sekretariat
8535,Aerztegesellschaft Zürcher Oberland
8537,Aerztekreis 6 der Stadt Zürich
8540,Aerztenetzwerk Bern
8542,AerzteNetzwerk Grauholz
8547,Aerzteverein Sargans-Werdenberg
8548,Aerzteverein Züriplus
8546,Aerzteverien Davos
14370,Aerztezentrum Adligenswil AG
8549,Aesculap Akademie
14371,AfA/ Helbling
15801,"AFABS, Association Formation Analyses Biologie Spécialisée"
8550,Affidea Cimed
12774,AFOP Verein für Onkologische Pharma
8551,"afsain - Aargauische Fachschule für Anästhesie-, Intensiv- und Notfallpflege"
8552,AG Kardiovaskuläre Pflege
8554,AGAIA
8555,AGAM - Association Genevoise des Assistantes Médicales
61,Agathe Konietzko
12400,AGFAM
8556,AGFAM Arbeitsgemeinschaft Fortbildung für Apotheken-Mitarbeiter
12401,"Agg, Medico G15"
14372,AGILE - Academy for Global Interprofessional Learning Education
8557,AGLA - GSLA
8553,AGLA Arbeitsgruppe Lipide und Atherosklerose
8558,Aglaea
62,Agnès Auteri
69,Agnès Auteri
12880,Agnes Genewein
63,Agnes Knapp
10602,Agnes Kneubühl
64,Agnes Koenig-Piros
14899,Agnes Macho
12882,Agnès Puigrenier
10603,Agnes Straub
65,Agnes-Petra Schall
66,Agnieska Starnawska
67,Agnieszka Jadwiga Starnawska
12881,Agnieszka Starnawska
68,Agnieszka Starnawska
71,Agostino Mattei
70,Agostino Mattei
8559,AGS- Eltern- und Patienteninitiative Schweiz
10604,Agustina Lascano
14782,AGZO
8560,AGZO (Gesellschaft der Aerztinnen und Aerzte des Zürcher Oberlandes)
8561,AGZO Dübendorf
14373,AGZO Gesellschaft der Aerztinnen und Aerzte des Zürcher Oberlandes
8562,aha! Allergiezentrum Schweiz
72,Ahamada Badini
73,Ahmad Farid Hassanzadah
15740,Ahmad Jalili
74,Ahmad Jalili
75,Ahmad Jalili
12883,Ahmad Jalili
76,Ahmed Hedjal
77,Ahmed Wahid
12884,Ahmet Kocaoglu
78,Ahmet Rasim Dervisoglu
12885,Ahouel Abdelkader
79,Ahron Wegener
80,Aikaterini Koutsi
81,Aikaterini Stasinaki
82,Aileen Caulfield
83,Aileen Gnoth
84,Ailln Hadjigoli
12775,Air-Glaciers SA
8563,AIU Grindelwald c/o friedeven
14374,AIU Grindelwald c/o friedevents
85,Ajit Andreas Singh
14900,Ajla Veladzic
10605,Ajsa Schenkel
12238,Ajsa Schenkel
12886,Ajsa Schenkel
12887,Aju Pazhenkottil
14901,Aki Kawasaki
14902,Alain Barmont
86,Alain Barmont
87,Alain Bitton
88,Alain Chanson
89,Alain Cometta
3,Alain Delabays
14903,Alain Delabays
90,Alain Falbriard
10606,Alain Feger
91,Alain Flattet
92,Alain Gervaix
93,Alain Golay
94,Alain Kaelin
95,Alain Mantegani
10607,Alain Mayer
96,Alain Mottaz
10608,Alain Pytel
97,Alain Rossier
14904,Alain Rossier
98,Alain Rostan
99,Alain Rüdiger
100,Alain Sauty
10609,Alain Sauty
101,Alain Schneeberger
102,Alain Schöpfer
10610,Alain Schwob
104,Alain Sermier
103,Alain Sermier
105,Alain Vonlaufen
15802,ALAN
106,Alan Dal Pra
10611,Alan Geoffrey De Vere-Tyndall
10612,Alan Witztum
14905,Albena Ivanova
125,Albéric Bressoud
108,Albéric Jean Marie Bressoud
8565,Albert Bruppacher Stiftung
12888,Albert Faasse
109,Albert Steiner
110,Albert von Rohr
10613,Albert-Adrien Ramelet
111,Alberto Arribas Carmena
112,Alberto Bardelli
113,Alberto Franchi
114,Alberto Fransioli
3267,Alberto Guardia
10614,Alberto Luchini
116,Alberto Molto
117,Alberto Molto
118,Alberto Moriggia
119,Alberto Toti
120,Albin Schwarz
121,Albina Nowak
122,Albrecht Breitenbücher
123,Albrecht Popp
124,Albrecht Schönfelder
14906,Albrecht Vorster
126,Alden Moccia
128,Aldo Joseph Egger
129,Aldo Klainguti
130,Aldo Kropf
131,Aleardo del Torso
132,Alec Martin-Achard
133,Alejandro Montoya
12889,Alejandro Oriol Daza
134,Aleksandra Lydia Marek
12890,Aleksandra Nobile
10615,Aleksandre Chanachev
135,Alen Adrovic
136,Alen Tschurr
10616,Alena Siegfried
137,Alessandra Bétubé-Casella
10617,Alessandra Bruno
10618,Alessandra Chiodini
14907,Alessandra Coeytaux-Jackson
138,Alessandra Curioni
139,Alessandra Franzetti Pellanda
140,Alessandra Romano
141,Alessandra Spada
10619,Alessandra Stasia
10620,Alessandra Thomann
142,Alessandro Candreva
143,Alessandro Casini
10621,Alessandro Del Bufalo
144,Alessandro Diana
145,Alessandro Huber
146,Alessandro Marzan
147,Alessandro Meyerhans
12891,Alessia Lardi
10622,Alessia Pica
12892,Alessia Pica
10623,Alessia Schinardi
14908,Alessio Gasperetti
14909,Alessio Vigani
14910,Alex Casanova
10624,Alex Friedlaender
148,Alex Gysi
149,Alex Soltermann
150,Alex Stalder
151,Alex Steinacher
152,Alex Straumann
10625,Alex Straumann
14266,Alex Suter
153,Alex Thommen
154,Alexandar Tzankov
155,Alexander Andreas Navarini
157,Alexander Arnold
158,Alexander Berger
159,Alexander Boris Deckart
160,Alexander Brandenberger
161,Alexander Braun
162,Alexander Breitenstein
14911,Alexander Breitenstein
163,Alexander Buchholt
10626,Alexander Buchholt
164,Alexander Chanachev
165,Alexander D. Klarer
166,Alexander Dieterle
167,Alexander Dieterle
168,Alexander Frumkin
169,Alexander Haab
170,Alexander Hägeli
12239,Alexander Jalali
172,Alexander Juergen Radziwill
173,Alexander Just
10627,Alexander Just
174,Alexander Justus Turk
175,Alexander Kai-Lik So
12893,Alexander Kaserer
176,Alexander Kerber
10628,Alexander Khomov
177,Alexander Kiss
14912,Alexander Kittel
12894,Alexander Klarer
181,Alexander Köhler
14913,Alexander Köhler
178,Alexander Krafft
179,Alexander Kunz
180,Alexander Kutz
182,Alexander Litke
10629,Alexander Lunger
183,Alexander Markus
184,Alexander Martin
185,Alexander Meisel
186,Alexander Minzer
187,Alexander Möller
188,Alexander Müller
12240,Alexander Navarini
10630,Alexander Navarini
10631,Alexander Nydegger
189,Alexander Ott
12895,Alexander Ouwerkerk
190,Alexander Pavlovic
191,Alexander Peinemann
192,Alexander Petersen
193,Alexander Pincherle
194,Alexander Pincherlé
7,Alexander Pinzello
10632,Alexander Pohle
14914,Alexander Poloczek
10633,Alexander Quaas
195,Alexander Rauch
196,Alexander Schreiber
10634,Alexander Schug
197,Alexander Semmler
14267,Alexander Siebenhüner
198,Alexander Siebenhüner
199,Alexander Simonis
12896,Alexander Skall
200,Alexander Spillmann
14268,Alexander Tarnutzer
201,Alexander Teufel
203,Alexander Turk
204,Alexander Turk
202,Alexander Turk
10635,Alexander von Hessling
205,Alexander Wagner
206,Alexander Westphalen
207,Alexander Wyttenbach
209,Alexandra Ambrosetti
210,Alexandra Antonazzo-Grecu
211,Alexandra Buchbauer-Kollar
14915,Alexandra Fischer-Stoca
212,Alexandra Goll
10636,Alexandra Hillairet
213,Alexandra Jäggi
214,Alexandra Knipprath Mészaros
215,Alexandra Kohl Schwartz
216,Alexandra Kratschla
217,Alexandra Krautheim
218,Alexandra Kutynia
219,Alexandra Lenoir
14916,Alexandra Leuenberger
14917,Alexandra Luquain
220,Alexandra Maria Groth
10637,Alexandra Miles
221,Alexandra Prica
222,Alexandra Prtilo
223,Alexandra Rageth
12897,Alexandra Rohr
224,Alexandra Schifferli
14918,Alexandra Schumann
225,Alexandra Studhalter-Pallini
226,Alexandra Valera
12898,Alexandre Bongard
228,Alexandre Bria
229,Alexandre Campanelli
230,Alexandre Cavin
231,Alexandre Christinat
232,Alexandre Christinat
2160,Alexandre Datta
10638,Alexandre Dayer
10639,Alexandre Dumont
233,Alexandre Dumusc
234,Alexandre Farin
14919,Alexandre Fredenrich
235,Alexandre Fredenrich
14269,Alexandre Guinand
236,Alexandre Hobi
237,Alexandre Kummer
10640,Alexandre Maret
227,Alexandre Martin Conrad Bodmer
238,Alexandre Megaio
12899,Alexandre Meiltz
239,Alexandre Meiltz
240,Alexandre Morais Cravador
14920,Alexandre Restellini
241,Alexandre Restellini
242,Alexandre Rey
243,Alexandre Ronga
244,Alexandre Theocharides
12900,Alexandro Papachristofilou
245,Alexandros Stangos
246,Alexane Delessert
247,Alexane Jeleff
10641,Alexis Berginc
10642,Alexis Camélique
248,Alexis Hyde
14921,Alexis Villate Bocconello
12901,Alexis Villate Bocconello
14922,Alexy Choffel
249,Alf Corsenca
250,Alf Karpf
251,Alfons Loher
253,Alfons Studer
254,Alfred Chappuis
255,Alfred Frei
256,Alfred Furrer
257,Alfred Gerber
12902,Alfred Gerber
258,Alfred Gustav Karpf
15741,Alfred Mahr
259,Alfred Portmann
12903,Alfred Schleiss
260,Alfred Schweizer
10643,Alfred Weiersmüller
261,Alfred Witzmann
262,Alfred-Roland Blaser
263,Alfredo Addeo
264,Alfredo Bacchetto
10644,Alfredo Guidetti
265,Alfredo Meniconi
12904,Alfredo Meniconi
267,Alfredo Velardi
266,Alfredo Velardi
268,Ali Elwafa
269,Ali Garachemani
10645,Ali Samim
270,Alice Andenmatten Brugger
12905,Alice Bordessoule
271,Alice Förster
14923,Alice Horisberger
14924,Alice Huang
14270,Alice Köhli
272,Alice Neumann
273,Alice Walder
274,Alice Zürcher
14925,Alice-Caroline Johanna Freifrau Fellner Von Feldegg
275,Alice-Caroline Thraen
10646,Alicia Caicedo Garcia
276,Alicia Caicedo Garcia
277,Alicia Rovó
278,Alicia Rovó de Gimpelewicz
279,Alina Elisabeta Stadler
280,Alina Mocanu
10647,Alina Staikov
12906,Aline Bervini
12907,Aline Borcard
281,Aline Rossi
12908,Aline Schneilin
10648,Aline Stalder Siebeneichler
282,Aline Veuve
12909,Alireza Moor
10649,Alison Somerville
14926,Alissia Storti
14927,Alix Catherine Stern
284,Alix Stern
283,Alix Stern
12910,Aljoscha Götschi
16050,All.Can Schweiz
12911,Allal Mahmoudi
286,Allan Daniel Salzberg
14783,allergie + haut
14375,Allergiesymposium Zürich
8566,Allergy & Immunology Update (AIU)
10650,Allessandro Verza
12402,Alliance Rouge
287,Almaz Zerai
288,Almut Meier-Weinand
289,Almut Redding
290,Alois Beerli-Reinhart
291,Alois Deplazes
10651,Alois Gratwohl
292,Alois Gut
293,Alois Staub
8567,Alpine Oncology Foundation (AOF)
14376,alta uro AG
8568,Alternative Communication
8569,Alters- und Pflegeheim Allmend
14377,Alterszentrum Im Wisli
14928,Alwin Zweerink
8570,Alzheimer Forum Schweiz
8571,AMACTI - Assoc. Medici Anestesisti Ticino
294,Amale Aboutarik
295,Amalia-Iren Kerl-Skurka
12912,Amanda Gonzalez
10652,Amandine Grimm
297,Amar Dravid
12241,Amara Pieren Salazar
12777,AMBIMED Basel AG
12913,Ambroise Champion
12914,Ambühl Robert
8572,Ambulatorien Zentrum für Psychotische Erkrankungen
8573,Ambulatorium Wiesendamm
311,Amédée Lages
14378,Amedis-UE AG
8575,Ameisen Apotheke AG
298,Amelia Maria Valles Garcia
14929,Amelie Borgeat
312,Amélie Borgeat Kaeser
10653,Amélie Burckhardt
14930,Amgad Bahgate Kashef
14379,AMGe pneumologues
8576,Amicale TTC Valais Romand c/o  Daniel Antonioli
12915,Amin Dabiri
299,Amina Chouiter-Djebaili
300,Amina Faiza Chouiter
301,Amina Scherz
302,Amineh Troendle
12916,Amir Daneshpour
303,Amir-Ali Fassa
12917,Amira Kasri
304,Amira Kraytem
305,Amirdivani Mahnoush
8577,AMIS Plus Stiftung
8578,AMITI
306,Ammar Kassouha
4304,Ammar Kassouha
307,Amparo Dubach
310,Amro Moatemed
8579,AMUT - Associazione Medici Urologi Ticinesi
313,Ana Baotic-Bisharat
14931,Ana Béjar
314,Ana Bishara
10654,Ana Carina Correia Magalhaes
315,Ana Godinho Lourenço
316,Ana Maria Gimeno Carrasco
12918,Ana Maria Henao Restrepo
317,Ana Maria Kunz
14932,Ana Maria Torea
12919,Ana Torea
318,Ana-Luisa Stefanski
319,Anahita Dastoor
320,Anahita Dastoor
321,Anastas Kick
12920,Anastasia Barras
322,Anastasia Dosch
12921,Anastasia Mikuscheva
12922,Anastasio Voutsas
323,Anastasios Stathis
12779,Anästhesiologie
10655,Anca Silvia Paschoud
10656,Anca Ungureanu
324,Anca-Teodora Antonino
12242,Anca-Teodora Antonino
14933,Anca-Victoria Dobos
12923,Ancuta Florea
12924,Anda Radan
514,Andé Herminjard
12925,Anders Boisen Jensen
326,Anders Jörg Leu
12243,Andras Dancso
328,André Aeschlimann
10690,André Berger
494,André Bergerhoff
12965,André Birkenmaier
329,Andre Dosso
330,Andre Dupont
495,André Etienne
496,André Friedli
331,Andre Gehrz
14951,André Haefeli
497,André Kohler
10691,André Königs
12966,André Kudla
14952,André Kugener
498,André Kuntz
499,André Leuenberger
10692,André Leumann
500,André Linka
501,André Ljutow
502,André Marmy
503,André Martin Surovy
10693,André Menétrey
12967,André Müller
14953,André Natowicz
504,André Natowicz
505,André Neumann
12926,Andre Patrick Gehrz
506,André Paul
10694,André Pillichody
507,André Roten
508,André Scheel
509,André Thurneysen
10695,André Tichelli
510,André Veya
12968,André Wyss
511,André Zemp
332,André Zurn
333,Andre-Pascal Sappino
14934,Andrea Aemmer
10657,Andrea Azzola
334,Andrea Azzola
10658,Andrea Babians-Brunner
335,Andrea Babians-Brunner
336,Andrea Badaracco
337,Andrea Baerlocher
12927,Andrea Barbara Haldi-Hofer
14935,Andrea Baur
12928,Andrea Benkovics
12929,Andrea Bettina Hysek-Galli
338,Andrea Bischof
341,Andrea Böttcher
10659,Andrea Braga
340,Andrea Bräutigam
10660,Andrea Bräutigam
339,Andrea Bregenzer
14936,Andrea Bütikhofer-Joss
12930,Andrea Cantisani
342,Andrea Carmen Müntener
10661,Andrea Consigli
12931,Andrea De Gottardi
12932,Andrea Denegri
10662,Andrea Denegri
343,Andrea Dubach-Schär
344,Andrea Duppenthaler
345,Andrea Ebert
12933,Andrea Egger
12934,Andrea Endimiani
346,Andrea Epp
347,Andrea Frei Rothenbühler
348,Andrea Galli
12935,Andrea Gallus
349,Andrea Ganzoni
350,Andrea Garbea
12936,Andrea Gasser
12937,Andrea Gmür
14937,Andrea Griffa
12938,Andrea Griffa
12939,Andrea Hermatschweiler
351,Andrea Hilgenfeld
15742,Andrea Hradiská
353,Andrea Hradiská
12940,Andrea Indermühle
10663,Andrea Jakobitsch
354,Andrea Karin Meienberg-Gebhard
355,Andrea Klein
14938,Andrea Krayenbühl-Lumpert
14939,Andrea Krebs
10664,Andrea Krümmer
356,Andrea Lanker
10665,Andrea Leder
357,Andrea Mauracher
358,Andrea Menafoglio
359,Andrea Monika Humm
360,Andrea Muck
10666,Andrea Müller Reid
361,Andrea Orecchio
14940,Andrea Orecchio
12245,Andrea Orecchio
362,Andrea Papadia
12941,Andrea Pfister-Koch
10667,Andrea Rehn
10668,Andrea Remondino
363,Andrea Roberto Zoelly
12246,Andrea Rubbert-Roth
365,Andrea Scatizza
364,Andrea Scatizza
12942,Andrea Schmid-Bearth
10669,Andrea Schweiger
367,Andrea Stärkle-Bär
366,Andrea Stärkle-Bär
368,Andrea Tasalan-Skupin
12251,Andréa Trombetti
12943,Andrea Uhlmann-Furrer
10670,Andrea von Orelli
369,Andrea Wenkstern
10671,Andrea Westphalen
12944,Andrea Widmer
12945,Andrea Winkler
370,Andrea Zanini
14941,Andrea Zanini
371,Andrea Zanini
372,Andreas Aebersold
373,Andreas Altmann
374,Andreas Arnold
10672,Andreas Bäbler
375,Andreas Barth
376,Andreas Baumann
377,Andreas Beat Schneider
378,Andreas Benjamin Stulz
379,Andreas Bieri
380,Andreas Bock
381,Andreas Bock
382,Andreas Born
